Date,Open,High,Low,Close,Volume,DominanceBTC
2024-09-01,58974.00,59076.59,57201.00,57301.86,1202177000,58.8
2024-09-02,57301.77,59425.69,57128.00,59132.13,1333092000,58.7
2024-09-03,59132.12,59809.65,57415.00,57487.73,1335077000,58.6
2024-09-04,57487.74,58519.00,55606.00,57970.90,2027631000,58.7
2024-09-05,57970.90,58327.07,55643.65,56180.00,1577771000,58.8
2024-09-06,56180.00,58152.00,55890.00,57690.01,1213900000,58.8
2024-09-07,57690.01,58685.00,57320.00,58410.00,784220000,58.9
2024-09-08,58410.00,59010.00,57850.00,58872.33,641800000,58.9
2024-09-09,58872.33,59755.00,58230.00,59480.00,1152300000,59.0
2024-09-10,59480.00,60620.00,59010.00,60310.00,1420150000,59.0
2024-09-11,60310.00,61180.00,59840.00,60790.00,1398820000,59.1
2024-09-12,60790.00,61840.00,60300.00,61520.00,1684500000,59.1
2024-09-13,61520.00,62310.00,61010.00,62080.00,1769300000,59.2
2024-09-14,62080.00,62940.00,61820.00,62650.00,1643000000,59.3
2024-09-15,62650.00,63280.00,62130.00,62920.00,1527700000,59.3
2024-09-16,62920.00,64010.00,62450.00,63680.00,1876200000,59.4
2024-09-17,63680.00,64550.00,63040.00,64230.00,1943500000,59.4
2024-09-18,64230.00,65210.00,63720.00,64980.00,2014400000,59.5
2024-09-19,64980.00,65890.00,64310.00,65540.00,2103000000,59.5
2024-09-20,65540.00,66210.00,64720.00,65980.00,1986500000,59.6
2024-09-21,65980.00,66540.00,65210.00,66250.00,1759300000,59.6
2024-09-22,66250.00,66830.00,65580.00,66610.00,1632000000,59.7
2024-09-23,66610.00,67390.00,66040.00,67080.00,1821000000,59.7
2024-09-24,67080.00,67840.00,66510.00,67520.00,1904500000,59.8
2024-09-25,67520.00,68230.00,66890.00,67980.00,2053000000,59.8
2024-09-26,63152.01,65839.00,62670.00,65173.99,1831205000,59.9
2024-09-27,65173.99,66498.00,64819.90,65769.95,1448852000,59.9
2024-09-28,65769.95,66260.00,65422.23,65858.00,600118500,60.0
2024-09-29,65858.00,66076.12,65432.00,65602.01,547980000,60.0
2024-09-30,65602.01,65618.80,62856.30,63327.59,1920250000,60.1
