Date,Open,High,Low,Close,Volume,DominanceBTC
2023-11-01,43580.20,44200.00,43050.00,43890.30,102000,55.0
2023-11-02,43890.30,44550.00,43500.00,44210.90,105000,55.2
2023-11-03,44210.90,44900.00,44000.00,44680.50,108000,55.4
2023-11-04,44680.50,45350.00,44400.00,45090.20,110000,55.6
2023-11-05,45090.20,45800.00,44900.00,45570.40,115000,55.8
2023-11-06,45570.40,46300.00,45200.00,45980.30,118000,56.0
2023-11-07,45980.30,46650.00,45700.00,46320.90,120000,56.2
2023-11-08,46320.90,47100.00,46100.00,46850.10,123000,56.5
2023-11-09,46850.10,47580.00,46600.00,47290.80,125000,56.8
2023-11-10,47290.80,48000.00,47050.00,47720.40,130000,57.0
2023-11-11,47720.40,48550.00,47500.00,48210.90,135000,57.3
2023-11-12,48210.90,49000.00,48000.00,48750.30,138000,57.6
2023-11-13,48750.30,49600.00,48500.00,49220.10,140000,57.8
2023-11-14,49220.10,50050.00,49000.00,49760.80,142000,58.1
2023-11-15,49760.80,50600.00,49500.00,50290.40,145000,58.4
2023-11-16,50290.40,51150.00,50000.00,50780.90,148000,58.7
2023-11-17,50780.90,51600.00,50550.00,51240.20,150000,59.0
2023-11-18,51240.20,52100.00,51000.00,51780.60,152000,59.2
2023-11-19,51780.60,52650.00,51500.00,52290.30,155000,59.5
2023-11-20,52290.30,53100.00,52000.00,52780.90,158000,59.8
2023-11-21,52780.90,53650.00,52550.00,53310.50,160000,60.1
2023-11-22,53310.50,54200.00,53000.00,53890.20,162000,60.4
2023-11-23,53890.20,54750.00,53600.00,54380.90,165000,60.7
2023-11-24,54380.90,55200.00,54050.00,54890.30,168000,61.0
2023-11-25,54890.30,55750.00,54600.00,55380.70,170000,61.3
2023-11-26,55380.70,56200.00,55000.00,55850.40,172000,61.6
2023-11-27,55850.40,56750.00,55600.00,56320.80,175000,61.9
2023-11-28,56320.80,57200.00,56000.00,56810.50,178000,62.1
2023-11-29,56810.50,57750.00,56500.00,57290.20,180000,62.4
2023-11-30,57290.20,58100.00,57000.00,57780.90,182000,62.6
