Date,Open,High,Low,Close,Volume,DominanceBTC
2023-10-01,27070.90,27350.00,26800.00,27240.30,27000,44.7
2023-10-02,27240.30,27600.00,27050.00,27480.90,28000,44.9
2023-10-03,27480.90,27900.00,27300.00,27820.40,30000,45.2
2023-10-04,27820.40,28250.00,27650.00,28160.10,32000,45.5
2023-10-05,28160.10,28600.00,28000.00,28490.70,34000,45.8
2023-10-06,28490.70,28950.00,28300.00,28830.20,36000,46.1
2023-10-07,28830.20,29200.00,28650.00,29170.90,38000,46.4
2023-10-08,29170.90,29550.00,29000.00,29410.40,39000,46.6
2023-10-09,29410.40,29800.00,29250.00,29680.80,41000,46.9
2023-10-10,29680.80,30200.00,29500.00,30090.50,45000,47.2
2023-10-11,30090.50,30750.00,29900.00,30540.20,50000,47.6
2023-10-12,30540.20,31200.00,30400.00,31080.90,55000,48.0
2023-10-13,31080.90,31850.00,30900.00,31570.40,60000,48.4
2023-10-14,31570.40,32300.00,31450.00,32010.80,58000,48.7
2023-10-15,32010.80,32650.00,31800.00,32480.30,56000,49.0
2023-10-16,32480.30,33200.00,32300.00,32940.90,54000,49.3
2023-10-17,32940.90,33900.00,32800.00,33580.40,60000,49.8
2023-10-18,33580.40,34700.00,33400.00,34210.90,65000,50.2
2023-10-19,34210.90,35450.00,34050.00,35140.50,70000,50.8
2023-10-20,35140.50,36800.00,34900.00,36580.20,90000,51.5
2023-10-21,36580.20,37450.00,36000.00,37240.80,85000,51.9
2023-10-22,37240.80,37900.00,36850.00,37690.40,82000,52.1
2023-10-23,37690.40,38400.00,37200.00,38120.90,80000,52.3
2023-10-24,38120.90,38950.00,37850.00,38560.30,78000,52.5
2023-10-25,38560.30,39400.00,38200.00,39080.70,76000,52.7
2023-10-26,39080.70,40150.00,38800.00,39840.20,85000,53.1
2023-10-27,39840.20,41200.00,39500.00,40590.80,90000,53.5
2023-10-28,40590.80,41850.00,40200.00,41230.40,88000,53.8
2023-10-29,41230.40,42500.00,40800.00,41980.90,92000,54.1
2023-10-30,41980.90,43200.00,41500.00,42740.50,95000,54.4
2023-10-31,42740.50,44150.00,42300.00,43580.20,98000,54.8
